0	Positive
00	Positive
01	Positive
02	Positive
03	Positive
04	Positive
044	Positive
05	unknown_state
05min	Positive
06	Positive
07	Positive
076	Positive
08	Positive
09	Positive
0`s	Positive
1	Positive
10	Positive
100	Positive
100c	Positive
100cr	Positive
100k	unknown_state
100koodi	Negative
100m	Positive
100million	unknown_state
100time	Positive
100times	Positive
101k	Positive
102	Mixed_feelings
102k	Positive
105k	Mixed_feelings
106k	Negative
107k	Mixed_feelings
1080	Mixed_feelings
10ah	unknown_state
10k	Positive
10ku	Negative
10m	Positive
10million	Positive
10th	Positive
10times	Positive
11	Positive
110k	Positive
112k	Mixed_feelings
115k	Mixed_feelings
118k	Mixed_feelings
11am	Positive
11k	Negative
11m	Positive
11milliyan	Positive
12	Positive
121k	Mixed_feelings
12hours	Positive
12hrsla	Mixed_feelings
12k	Positive
12m	unknown_state
12min	Negative
13	Positive
131k	Mixed_feelings
132k	Mixed_feelings
134k	Mixed_feelings
135k	unknown_state
13k	Positive
13million	Positive
14	unknown_state
140	Mixed_feelings
140k	Positive
142k	Positive
143k	Mixed_feelings
145k	Positive
14k	Positive
14m	Positive
15	Positive
150	Positive
1500	Negative
150k	Positive
151	Mixed_feelings
152k	Mixed_feelings
156	Positive
158	Positive
15k	Positive
15m	Positive
15mins	Positive
15times	Positive
16	Positive
160	Mixed_feelings
160k	Positive
16k	Negative
17	Positive
170k	Positive
175k	Positive
17m	unknown_state
18	Positive
180k	unknown_state
185	Positive
18age	Negative
18k	Positive
19	unknown_state
190k	unknown_state
1960	Negative
1975	unknown_state
1980	Positive
199	Mixed_feelings
1990	Positive
1990s	Positive
1995	Positive
199k	Positive
19k	Negative
19m	Positive
1again	Positive
1cr	Negative
1hour	Positive
1hr	Positive
1k	Positive
1m	Positive
1milion	Negative
1miliyan	Positive
1million	unknown_state
1mio	Positive
1mn	Positive
1month	Positive
1months	Mixed_feelings
1namma	Positive
1sec	Positive
1show	Positive
1st	Positive
2	Positive
20	Positive
200	unknown_state
2004	Positive
200cr	Mixed_feelings
200m	Negative
2017	Positive
2018	unknown_state
2019	Positive
2020	unknown_state
2025varai	unknown_state
2030	Positive
2050	Positive
20760	Positive
20891	Positive
20days	Mixed_feelings
20dyas	Mixed_feelings
20k	Positive
20ku	Positive
20m	Positive
20million	unknown_state
20th	Positive
21	Positive
2109	Mixed_feelings
213k	Positive
215k	Positive
21k	Negative
22	unknown_state
22m	Mixed_feelings
22nd	Positive
23	unknown_state
23k	Positive
24	unknown_state
240k	Positive
245	Positive
24h	Negative
24hrs	Positive
24k	Negative
25	unknown_state
250	Positive
250k	Positive
25k	Positive
25million	Positive
25th	Positive
25times	Negative
26	Positive
261	Mixed_feelings
267k	Positive
26k	Positive
27	Positive
2750	Positive
27tha	Positive
28	unknown_state
280	Positive
289k	Positive
28k	unknown_state
29	unknown_state
29iku	Positive
29k	Positive
2days	Positive
2k	unknown_state
2k18	Positive
2k19	unknown_state
2ku	Positive
2la	Positive
2m	Positive
2million	Positive
2min	Positive
2nd	unknown_state
2point	not-Tamil
2point0	Positive
2point0trailer	unknown_state
2second	Positive
2u	Positive
2um	Positive
3	Positive
30	Positive
300	Positive
300c	Mixed_feelings
300k	Positive
301k	Positive
303k	Positive
30k	Positive
30m	unknown_state
31	unknown_state
314k	Positive
318k	Positive
31k	Positive
32	unknown_state
326k	Positive
32k	Negative
33	Positive
332k	Mixed_feelings
34	Positive
34k	unknown_state
35	Positive
3500	Negative
35k	Negative
36	unknown_state
360	Positive
360k	Positive
367k	Mixed_feelings
369k	Mixed_feelings
36k	Positive
37	Positive
374k	Mixed_feelings
376	Positive
37k	unknown_state
38	Positive
38k	Positive
39	Positive
393k	Mixed_feelings
39k	unknown_state
39kb	unknown_state
39m	Positive
3d	Positive
3days	Positive
3dla	Mixed_feelings
3ena	Mixed_feelings
3k	Positive
3m	Positive
3million	Positive
3naal	Positive
3naalku	Positive
3on	Positive
3rd	Positive
3sotting	Negative
4	Positive
40	unknown_state
400	unknown_state
400k	Positive
40k	unknown_state
40tamies	Mixed_feelings
40th	Positive
41	Positive
414k	Positive
41k	Negative
42	unknown_state
428k	Positive
43	Positive
43k	Negative
43kb	unknown_state
44	Positive
440k	Positive
44200	Positive
449k	Positive
44k	unknown_state
45	Positive
450	Negative
450cr	Positive
45k	Negative
46	unknown_state
464	Positive
467	Positive
467297	Positive
467k	Positive
46k	Negative
47	unknown_state
470k	Mixed_feelings
477k	not-Tamil
47k	Positive
48	unknown_state
48684268	Positive
48k	Mixed_feelings
49	Positive
4d	Positive
4days	Positive
4k	Positive
4m	unknown_state
4movie	Positive
4r	Positive
4th	Positive
5	Positive
50	Positive
500	not-Tamil
500k	Positive
500likes	unknown_state
50k	unknown_state
50m	Positive
